idx,true_label,pred_label,confidence,word_count,text
276,negative,positive,0.6686,82,one people find according jim great television comedy going rock world might add kudos proving good talent good writing charismatic star really need network abc prefers air crap like jim belushi's show year year big steaming brown german shepherd sized thank genius loved first movie exactly fan film
304,negative,positive,0.7303,81,never saw original version judy garland mean comparison also year found tale neither gripping nor romance captivating movie tell story two lover whose musical career headed opposite direction john norman howard worn disillusioned rock star decline embarking upon romance fresh talented new singing se
309,positive,negative,0.2871,62,twisted desire movie starring melissa joan hart melissa's character jennifer stanton seventeen year old seduces current boyfriend nick ryan murdering two parent movie based murder parent year old jessica wiseman jessica year old boyfriend douglas christopher thomas shoot kill parent thomas executed 
331,negative,positive,0.7446,83,would left movie halfway people liked movie based real incident top feel real psychological background hang lot psychotherapist known seriously crazy people not think people like exist film character seemed consistently human augusten's father alec baldwin young augusten jack kaedin although evan ra
335,positive,negative,0.2442,47,anatomie certainly one better movie seen think anatomie primarily intended horror movie movie questioning ethic science watch mind turn really good film annoying bit awful voice dubbing english version expect non german person listen unbearable german accent two hour let native english speaker talki
352,negative,positive,0.5439,70,not typical vamp story not bram stoker anne rice truly original vampyre story vampyres genetic mutant sunlight bother pure evil film not perfect many actor clearly amateur two lead play van helsing rally vampyre chick pretty good though film intensely violent may disturb people also loaded scientifi
357,negative,positive,0.8587,71,movie cute opening truly believed one best romantic comedy seen something particular foreign way movie set realistic yet somewhat abstract mystical story line started becoming unrealistic say ending corny predictable would almost understatement typical romantic ending everything go great every 'lika
366,positive,negative,0.2665,84,review much lack plot acting wooden orgy scene make sense etc miss main point let's honest movie made heady time late early los angeles movie meant watched mind psychedelic substance find kind bud smoke get mild hit acid seriously straight sober review miss point can't get anything movie straight fr
374,negative,positive,0.7737,56,get wrong dan jansen great speed skater one guy deserved gold medal olympics dan possible bill corcoran made bad movie incredible dan jansen story real dan jansen story truly incredible especially look movie eye sportsman everything wrong way matt keeslar actor skate technique dimension speedskating
384,negative,positive,0.781,58,cartoon not right lol totally disagree lot thing portrayed however ended positive note mine not viewing household mainly fight stereotype every day cartoon confirms white people feel black people act like comment one little black girl made cartoon boyfriend conscious white really offended that's not
397,negative,positive,0.5102,63,american come expect crapiness par course come horror unknown director directing unknown actor acting unknown writer truly expect suck suck becomes night success not night success nor weekend month success blow start finish recommendation knowing suck enjoy something better keep back way back burner
398,positive,negative,0.402,107,psychopath trip memory lane saw film many year ago old black white children's' show host rabbey avenges brutal abuse parent inflict upon kiddie fan rabbey look like always verge losing finally crack decides hunting trip watch bad parent cause rabbey prowl happens next priceless however trying find m
401,negative,positive,0.8527,105,film capture short moment mother son rural russia lay dying torn nice film declaring test patience one hand film beautiful sparse dialog capturing essence feeling really nothing say everything need said conveyed beyond word son show much care love patience towards mother think celebration unconditio
408,negative,positive,0.5321,76,roy rogers roy sidekick raymond hatton rusty join teddy roosevelt's rough rider soon get suspended order round killer partner eddie acuff tommy along mexican border discover creepy gold runner process notice even suspended rogers able get rough rider join round not one better roy rogers western figh
409,positive,negative,0.3398,74,rickman sexy good stranger less convincing reedus sort sexy not consistent actor could director's fault case supposed find alluring extreme pretty that's not enough thwarted wife almost convincing year marriage rickman's character settled whether role incompatible not must pattern get although think
438,negative,positive,0.5649,83,movie made upset think cat hat thinking cat hat book know one year back parent read thier child well though movie would lot like much suprise nothing like book insted like young adult humor movie one part cat talking gardening tool hoe cat talk like hoe agin adult humor naming car though little unta
458,positive,negative,0.0882,26,coming probably say find lot local movie lacking cohesive flow weak storyline comedy lack nothing great story overacting melodrama brilliant comedy know favour laugh till drop
460,negative,positive,0.7918,64,group seven people fear survivor near world ending bomb blast not fear radiation also mutant surrounding hillside one group already contaminated strangely pose real threat others surviving friction assorted personality close range sub plot richard denning play hero mike connors close edge playing to
470,positive,negative,0.0166,135,legendary boris karloff ended illustrious career making four cheapie fright flick clunkers mexico token moody period gothic horror entry bunch karloff give typically spry dignified performance matthias morteval elderly eccentric patriarch invite several petty greedy backbiting count relative creepy 
511,positive,negative,0.0539,30,whoop look like gonna cost whopping buy copy either dvd video format itv direct ouch sorry imdb let submit comment unless least line blahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblah blahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblah blahblahblahblahblahb
514,negative,positive,0.7922,445,read several review ask question film made found question looming mind hour twenty minute feature seemed drag near middle give sensation picking steam end actuality nothing sort film made think great question watching heftig begeistret ask reviewer proud director knut erik jensen giving powerful ima
520,positive,negative,0.1548,68,delightful little thriller open trevor howard jag convertible end dockside liverpool thrill spill spy restart career getting serious cataloguing butterfly british trevor howard jean simmons frolic london newcastle upon tyne liverpool via ullswater thrown something guessed run wrongly accused murder 
526,negative,positive,0.9889,219,finally opportunity watch zombie zombie flesheaters europe import region japanese dvd blown away entertaining zombie epic transfer immaculate good ever going look unless anchor bay get hold gore truly stand like really appreciate excellent makeup gore sound also terrific channel dolby receiver dolby
527,positive,negative,0.4749,66,understand movie getting beat jeez mindless polished reading wasted cast movie play character 't' watched permanent midnight became ben stiller fan yes disappointed misunderstood well intentioned misfit trying save city world nothing grit determination problem realize limit big showdown that's point
532,positive,negative,0.3198,110,wow episode last week seeing mellisa constantly making cameo friendship annie brandi almost puked nothing seeing mellisa's tirade fired seeing hobble around cast spewing obscenity screaming someone get purse absolutely hilarious thing ever reality continued scream people set get clothes like someone
537,negative,positive,0.7687,77,dreamy young ashton kutcher tom stansfield want date sexy blonde tara reid lisa taylor reid think kutcher gay kutcher work reid's father anal retentive terence stamp jack taylor kutcher agrees housesit bos believing get closer reid stamp pet owl named becomes toilet cokehead film get restricted rate
544,negative,positive,0.9551,99,watched ubuweb early experimental short film directed william vance orson welles yes read right orson welles year gained fame radio's war world feature debut citizen kane welles year old finding muse besides vance welles another player one virginia nicholson would become orson's first wife play woma
564,negative,positive,0.6267,90,haunted boat sell 'the fog' meet 'open water' many way accurate scare weird looking people keep interested however acting ability poor best showing clear sign merely bunch friend making horror film credit best ability accept low budget make difficult special effect ghost looking pretty much like men
579,negative,positive,0.6461,108,back scotland lassie trial life faithful dog sleep master's grave must put death according law oddly also explained lassie legal owner apparently also old scottish law three day owner located dog must destroyed edmund gwenn john traill pleads lassie's case lead extended flashback showing lassie's ad
603,negative,positive,0.5515,106,franco zeffirelli thinking hollywood responsible travesty take comfort idea someone speak english first language completely missed point charlotte bronte's classic think improve comment read paraphrase jane eyre great great book screenwriter read sometime true movie's two lead sadly miscast pity act
637,negative,positive,0.9073,100,appears two movie spliced one first zasu pitt renegade small town want help romantic life marjorie woodworth never heard either pitt part concoction know pitt longer miss polly emmie rewind see fallen asleep somewhere longer small town way title honeymoon destination movie cute moment first part bet
655,negative,positive,0.8296,369,film another director tim burton's attempt capitalize familiar title bring vision' screen done batman' sleepy hollow' not remake thing common original simian speak charleton heston make cameo burton reconstituted entire story watering today's mass viewership original planet ape product time america 
663,negative,positive,0.9684,72,really good movie lurking beneath surface layer upon layer cheese pagemaster found watched morning neglecting year year remember hating passion first came time found special effect quite good plot neverending story creativity endectomy okay little flick anyone want really awesome eye candy animation
679,negative,positive,0.7195,160,small spoiler bought dvd movie yesterday saw friend believe happened first movie critter least sense humor especially movie not critter barely ever make appearance funny never made laugh must admit story start nicely hour gone remembered critter movie always short thought critter barely movie make m
685,negative,positive,0.8822,69,tim robbins oddly benign cast garage mechanic new jersey fall love perky blonde turn albert einstein's niece although screen much time robbins cancel inner working intense persona fade background easy forget even picture lumpy romantic comedy gimmick walter matthau playing einstein cartoonishly conc
694,positive,negative,0.1953,87,critic audience pretty much panned movie actually think bad even critic normally agree thought crap normally despise horror film mean one two thing either easily pleased taste movie dwindled year 'when stranger calls' nearly horrible made fair criticism movie true there's not much character developm
701,negative,positive,0.9336,237,changi australian comedy drama set world war japanese prisoner war camp name story cut past event present day aged veteran plan reunion much publicised controversial miniseries australia budget ran million aust dollar historian veteran criticised authenticity critic pilloried uneasy mix comedy drama
708,positive,negative,0.4826,60,carlos mencia excellent hour special working hard show everybody real deal know people said stolen material special not true carlos brings comedy front way want not anyone else want good people say not funny say dee dee dee much still realized thats part act want way brings like anyway succeeds maki
731,positive,negative,0.4053,21,good movie maybe like filmed actor good performance not girl girlish good fighting awsome guy cute good match want guy girl
732,negative,positive,0.5272,115,kind fascinating many reviewer consider masterpiece not dullard far quality film agree technical filming standpoint well several character portrayed film award worthy class sense film actually going anywhere mean taking viewer anywhere series mood scene perhaps remarkable want film look story moveme
744,positive,negative,0.1098,198,like tarzan ape man there's everything animal varied african tribe scene thought must good three four lion forty would better tarzan wrestle crocodile crocodile machine spin water like rolling pin around around jaw flapping tarzan kill ubiquitous knife blasted saurian would hold still tarzan kill li
750,positive,negative,0.4498,66,please not put fantastic film dvd searching like previous writer year whats hold show underestimated one romantic beautifully written book ever read believe read seem think read radio can't find either not try remake even promise top earner people love sort story please either release take misery re
803,negative,positive,0.6099,99,many bad reviewer made wonder people thinking watching simple flick made quite bad director expected super hit flawless movie way already see raj kumar kohli love multi starrer movie earlier work multi starrers one flawless take first jaani dushman instance many flaw still good fun anyways sticking 
836,negative,positive,0.5439,147,disappointment especially light budget provided technical resource available talent assembled fundamental rule science fiction drama create audience willing suspension disbelief poa creates plausible beginning suckering thereinafter burton forgets moviegoer working brain top libertarian helena bonha
845,negative,positive,0.7354,90,diana muldaur appears star trek second time time different character one board seems notice maybe hair regardless time not receptacle god see previous episode famous lady magical power enable communicate see medusan without going crazy standard human response unfortunately man love card short full d
847,positive,negative,0.4178,34,friend made sit watch film material god devil heaven hell restaurant thrown good measure four guy prick dy that's story never guess ending one skillfully realized little gem aussie cinema hat team made one
857,negative,positive,0.9443,66,sorry disagree found dkc series quite engaging much invested snes system copy game mind almost ten year initial release dkc graphic ground breaking time first vector graphic game home system music character memorable game brought girlfriend dozen hour entertainment true second game better first thir
872,negative,positive,0.6667,540,spoiler within assigning artistic director operatic production naturally inevitably mean going get piece director's mind directing wagner opera especially tricky task perhaps explicit opera composer term thing look like unfold han jurgen syberberg load filming parsifal wagner's final masterpiece eno
887,positive,negative,0.4175,37,plotwise rather silly little whodunnit masquerading period drama biopic however reason wanted see first place curious great henry fonda really like peak disappointed produce truly warm charismatic performance addition honestly say never really bored stage film strong
888,positive,negative,0.2867,187,review written someone read several time know talking firstly read others comment noticed objection really quite stupid people read book jane austen matter good book know sticking book vital trust author viewer not like stick book well show not understand jane austen obviously not true fan firstly v
907,negative,positive,0.5118,26,team spirit maybe made best intention miss warmth star jean van velde scene identic not funny not well done actor repeat line star without much feeling
914,negative,positive,0.8369,318,yet another version mother gangster flick classic godfather yet another case hype due medium circus sarkar hindi film ram gopal varma director also weakest underworld trilogy including two excellent satya company charisma magnetic persona two bachchans playing father son duo screen first time defini
929,positive,negative,0.4349,90,completely worth checking saw mlk's birthday hit big time sometimes feel like trap doomed repeat past matter much try change keep going speaking keep going mean downer that's not point maybe need get see much need work happens keep told best people like mlk need happen pull dead end road listen know
930,negative,positive,0.8592,95,movie moved much slowly taste concept story refreshingly different explores family dynamic living mentally retarded family member way not previously seen screen however execution concept flawed character developed fully within scene first appearance one endure feeling character treading water rest w
945,positive,negative,0.3088,63,watched film family long thanksgiving holiday weekend thankful someone insisted watch though pay much attention end film head shearing seems promised ala happen hand watched movie year later loved liveliness absurdity sparkle plain fun think film female tone woman not exploited even though sure some
960,negative,positive,0.5658,101,rocketship viewed serious movie buff following reason one first movie not happy ending doubtless effect profound post world war america would today nonetheless sad ending add film's message also one first movie deal space travel serious fashion using space valid setting drama lack scientific backgro
982,negative,positive,0.7583,127,movement intolerant judgmental environmentalist movement budding young socialist joining circus must seem intimidating joining real circus even though people normally outsource brain hollywood important issue teaching hollywood often seem fragmented confusing fortunately teach neo hippy art enviroju
983,negative,positive,0.9005,84,expecting documentary focused tobacco industry north carolina instead watched man rue fact great grandfather lost tobacco empire duke family went mcelwee's family prevailed duke doubt mcelwee would problem death toll caused tobacco related disease grew near area mcelwee's family began tobacco busine
1005,positive,negative,0.3773,269,originally screened america 'the night stalker' became highest rated made movie history based jeff rice's unpublished novel told fearless investigative reporter named carl kolchak late darren mcgavin discovered existence vampire modern day la vega arrived british television four year later not quite
1017,positive,negative,0.4145,39,small town threatened child killer lady police officer go pretending friend becomes emotionally involved murderer psyche begin take beating causing lose focus job catching criminal not film high voltage excitement solid police work good depiction faulty mind psychotic loser
1027,negative,positive,0.5866,196,one marred potentially great match cut short opening match waste legion doom guess way could eliminated demolition double otherwise perfect would put overtime kerry von erich champ wasted third ppv row perfect jobbed remember never lost match second match good possibly best night ted dibiase underta
1055,positive,negative,0.0757,41,valentine dogkiller dussaut joe judge kern join force clean mean street geneva thrill put kibosh international heroin smuggler polish fugitive peeping tom philandering girlfriend renegade dog litterbug lazy bin recyclables fooled deceptive miramax campaign paint pretentious art house flick movie act
1056,negative,positive,0.5901,65,bad idea remake almost oscar worthy film mosthly martha much better deepness finesse mainly wonderful talented actress leading role martina gedeck joke ugliness handsome aaron whole atmosphere ridiculous effort hollywood remake film full scheme anybody create good newly script safety solution make r
1074,negative,positive,0.5423,118,muslim country khalid fictional benevolent leader dictator reed hadley amir dying cancer amir dy desperate plot unfolds body wrapped aluminum foil taken clandestine operation population not know death consisting doctor nigserian mohammed country perform risky brain transplant surgery performed disgr
1076,negative,positive,0.9572,61,really know many person love movie maybe funny totally ruined one best novel ever written author said movie betrayed book not story violently cut symbol complexity everything lost fashioned fantasy adventure film kid today effect director new attention book hope someone tim burton peter jackson haya
1077,positive,negative,0.029,42,wizard lost kingdom movie young prince simon banished kingdom due father king killed cliche evil adviser movie's simon's adventure special effect plot acting generally everything movie bad however bad funny keep watching movie simply bad funny like reviewer movie said bad good
1081,negative,positive,0.5066,210,british pot boiler one thing going young men uniformly good looking older men opinionated right wing thatcherite whose behavior brings back acrimony reagan thatcher year young old however moral three part mini series universally suspect one come particularly well nick handsome young gay man fresh ox
1083,negative,positive,0.6568,27,candidate worst film ever seen wanted shocking silence lamb neither style nor wit aforementioned make excellent acting pretty good story seems drag year murder gruesome disturbing entertaining
1089,positive,negative,0.292,57,may never hospital hospice want politically correct as coined asinine phrase anyway anything direction get town george masterful job playing burned worked cynic come conclusion life waste helpless change environment condition even given golden opportunity probably golden anyway got several laugh bru
1095,positive,negative,0.0768,22,henry thomas showed restraint even third act turned horrible hollywood resolution could've killed movie kept dignity redemption story pure creepiness sniffing baby
1116,positive,negative,0.3215,85,movie one rolling floor laughing movie ever seen danny vito play owen perfectly momma excellently portrayed one highlight movie beginning movie start differently would expect larry trying write book trouble larry teach writing class owen tagged larry trying get read story owen eventually asks larry 
1117,negative,positive,0.6753,34,michael dudikoff star joe armstrong martial artist fight ninja stealing weapon army entertaining yet admittedly brainless martial art actioner hampered many long pause without action helped high energy action setpieces well steve james' performance
1129,negative,positive,0.5418,196,movie not interesting except first ten minute pace editing perfect introduction ensemble piece even better say gosford park inexplicably slows loses focus start resembling traditional french movie regain focus end love relation antoine depardieu cile deneuve middle many sideline loose end story seve
1145,positive,negative,0.4423,92,would definitely not kind movie husband saw said really good recommendation bought copy since know would ever never heard anybody except armand assante first hard time getting story first part movie jumble image make much sense later movie come together scene cutting that's called bit jarring someti
1159,positive,negative,0.2577,243,know people except lot low budget indie film enjoyed one fan urban horror there's not many urban horror movie saw one shelf title alone peaked curiosity decided check surprised not often run low budget indie horror film great acting good story low budget yes tell low budget yes start watching movie 
1162,negative,positive,0.8242,134,first really loved henry fool put small pool movie goer parker posey one best actress screen today film full travesty watching hartley actor talk film extra full pride making pointless analogy star war stomach turning hype producer part hdnet realized max true example emperor new clothes mostly feel
1196,positive,negative,0.3336,80,film comedy expose always hated dog show considering ridiculous get ups people put dog idiotic name give hence reason uncontrolled cackling watching film get kick something taken seriously even though gain small insignificant like miniature golf jump roping championship need set obscure world record
1200,positive,negative,0.0174,239,honestly expecting hate one really checked jenna jameson say got kick evil breed group college kid teacher field trip ireland lodging located near wood rumored strange thing happen tourist often disappear without trace group post teen warned property's caretaker not venture wood stupid movie charact
1207,positive,negative,0.4675,61,one satisfying book adaptation actress make believe borg could sexy make believe spy traitor redeeming quality plot line not follow cornwell's story exactly exciting rewarding retelling darn good yarn yen romance uniform lot sexual energy sparking man sharpe lying hussy made wish role closer book ma
1225,negative,positive,0.8845,64,better average movie thought cable expected something along line cheesy melodrama bad special effect seen classic christmas rush first daughter target shot etc cast well chosen especially liked ron livingston hard pressed swat commander good see revisiting material much fortune band brother producer
1233,positive,negative,0.3198,70,movie lot better asylum version mainly war world tripod look pretty cool walking death could better action scene really cool walking walking walking walking god stop walking please going kill thunder child scene favorite sequence mainly ship rammed bunch tripod good movie recommend people read book 
1239,positive,negative,0.3988,62,movie marketed extremely well released middle master p's fame success anything everything name selling shelf that's wonder underground urban drama sold copy still goin' fan limit back even check old school phatty video get started freaky deaky stripper bonus ice cream party got say people like maste
1241,negative,positive,0.9248,133,'the fox child' new film french director luc jacquet brought oscar winning documentary 'march penguin focus around young girl wonderfully played bertille bruneau blooming friendship fox truly mesmerizing moment badger mucking lynx chasing fox snow littered forest one scene particular fox tormented p
1267,negative,positive,0.5006,60,sorry sorry sorry nice nice production nice actor also funny type movie dog rex german gery jerry american private detective pretty rich woman hello producer many movie plot mind make scene like dog pupu king dog activity micro chip make rich micro chip wort fortune three master chip wow creator chi
1276,positive,negative,0.3088,86,begin let tell great stand special sound play sonic adventure director's cut time red mountain level particular watching stand special suggest demand carlos mencia take stand extreme san francisco california make fun everybody absolutely apology pretty much thanking god carlos thing us joke tremendo
1304,negative,positive,0.5948,24,feeling dolittle intended audience composed entirely child think would better time sat home watched sit com favorite character movie pet hamster two alley mouse
1315,positive,negative,0.2246,273,not tell armored kubrickian hitchcockian fellini esquire nope referenced director like siegel charlie varrick walter hill warrior two helmers fool around nicety like putting woman movie skirt need apply unapologetically made guy movie gun lot gun men met violent death twitch jaw movie like sap head 
1327,negative,positive,0.8937,59,feel much less generous film others ilk portrayal madman century always done totally bizarre different specie antic outrageous totally fictionalized everyone napoleon historical figure fascination chicken make beating scriptwriter said make without sense insanity even mental illness watch wonderful 
1360,negative,positive,0.5168,66,director think everybody read biography artemisia left impressed gut face public rape trial renaissance time even suffer torture order show tassi guilty fact show real independence emancipation terrible hour stand man movie depicting renaissance clinically beautiful romantic afraid see gritty side l
1363,negative,positive,0.6801,85,blind date columbia picture decent film issue film first fault actor film less problem script also understand film made people looking escape reality script made ann sothern's character look weak kept going back forth suitor felt though stayed paul kelly's character end truly care family would done 
1373,positive,negative,0.3798,77,cute little horror spoof comedy featuring cassandra peterson aka elvira mistress dark infamous horror hostess time meant pilot vehicle elvira successful picked nbc network filmed pilot television series feature busty babe black unfortunately sit com never made past pilot stage due sexual reference f
1376,positive,negative,0.4238,88,good ppv like wrestlemania year later wwe crammed many match match useless not going every match card would take forever however major highlight included huge pop demolition winning tag team belt haku andre giant first ever mixed tag match featuring randy savage sensational queen sherri dusty rhodes
1380,negative,positive,0.5759,123,really know writting think people agree movie bad well let say first get done watching movie like time go opinion change movie happened end day liked first time saw thought entertaining week later opinion changed resolve watched friend house well bad logic person see logic hole movie try ignore see 
1385,positive,negative,0.3876,107,woman aunt scotland locate evasive fianc much maligned film denouement point interesting well acted eerie fine set design william cameron menzies developed projection veronica hurst captivating genteel sort chic british marilyn monroe still love richard carlson hiding family secret forbidding castle
1396,positive,negative,0.2012,87,today someone mention name victor mclaglen response likely perhaps well believe not victor mclaglen academy award best actor film poor desperate man willing sell best friend carfare united state interesting movie show low even well meaning shnook buck movie take place british dominated ireland chara
1401,positive,negative,0.453,21,really interesting film first time seen relationship older woman younger guy screen without sensationalist director notting hill bold move something serious
1411,negative,positive,0.7191,156,camille aspect ratio panavision sound format mono whilst visiting rome amorous nobleman nino castelnuovo fall love beautiful young libertine daniele gaubert unlikely romance opposed castelnuovo's wealthy father massimo serato fate deal tragic blow sexed love story swinging sixty adapted literary sou
1422,negative,positive,0.5003,183,movie truly show farce hypocrisy indian society try show one side story side story hidden emotional mental abuse indian child movie not show indian parent culpable following destroying individuality child making completely dependent parent early age child grow adult physical look remain child mind s
1423,positive,negative,0.0371,155,man can't believe largely harsh negative comment movie okay sure ain't sophisticated work cinematic art good deal entertainingly tacky fun starter titular pumpkin headed supernatural killer dude one single laughably silly unscary thing ever stumble front camera look like something would see fourth r
1424,negative,positive,0.5143,63,missed beginning see friend got dvd cheap room fye skit short yet still long majority seem forgotten something funny quite lot racist sexist homophobic humor skit based stereotype skit use racist term people trying remember anything thought funny trouble logo tunnel vision network lipsticked mouth e
1428,positive,negative,0.4133,92,movie probably budget still managed surpass titanic rented day crashed mom's car thing cheered beyond belief tied 'the assult killer bimbos' thing look drive blow job chinese girl scene bleach blonde sassoon shirt never change flinstone like screech driving clashing ensemble worn redhead right get k
1433,negative,positive,0.6947,67,sean bean great photography location costume however plot somewhat muddled conclusion flat plot substantially altered cornwell's novel not better unfortunately adventure much better read watched sharpe narrowly drawn contrast literary alter ego seems intelligent determined despite apprehension new r
1443,negative,positive,0.6594,63,plot film not strong lot hole approach car movie not bad lot great car one reason like area filmed get enjoyment looking recognizable place cloud seeing town changed since interesting historical piece local seems like whenever film made everyone want relationship impossible find copy local video sto
